Customer_ID,City,Delivery_Time,Review
C087,Richmond,53,The food was okay. The delivery time was average.
C088,San Bernardino,32,"My food arrived hot and fresh, and the delivery was very fast. I'm a happy customer."
C089,Spokane,94,A very poor experience. The delivery was extremely late and the food was not worth the wait.
C090,Tacoma,29,Excellent food and speedy delivery. I couldn't ask for more. Highly recommended.
C091,Des Moines,49,The food was satisfactory. The delivery was on time.
C092,Modesto,44,The food was delicious and the delivery was on time. A great experience overall.
C093,Fontana,81,My food was cold and the delivery was over an hour late. I will not be ordering again.
C094,Moreno Valley,84,The delivery was a nightmare. The driver couldn't find my address and the food was cold.
C095,Fayetteville,75,I am very dissatisfied with my order. It was late and the food was cold and tasteless.
C096,Yonkers,98,This was the worst delivery experience I've ever had. The food was inedible and it took forever to arrive.
C097,Huntington Beach,79,The delivery was incredibly slow and the food was cold. I am very disappointed.
C098,Montgomery,82,My order was late and the food was cold and bland. I would not recommend this place.
C099,Amarillo,77,A very frustrating experience. The delivery was late and the food was not good at all.
C100,Little Rock,31,"Great food, fast delivery!"
